mapid	tags	description
schochastics_2021_29	germany,sport	Fixtures with the most 0:0 as result in the German Bundesliga
schochastics_2021_30	world,points	Location of @Meta Offices around the globe (not all). Some true Meta mapping😜
ShandiyaB_2021_01	australia,melbourne,points,trees	This one goes out to all fellow hayfever-sufferers. Locations of London Plane Trees in the City of Melbourne.
ShandiyaB_2021_02	australia,melbourne,roads,lines	Streets within my 5km radius during Melbourne's COVID-19 lockdown
ShandiyaB_2021_03	australia,melbourne,buildings	Buildings in Melbourne, differentiated by roof type. Inspired by Jo Wood's (@jwoLondon) map of Bloomsbury.
ShandiyaB_2021_04	australia,victoria,hexagons,density,animals	Observations of the #BirdoftheYear, the Superb Fairy-wren (Malurus cyaneus), across Victoria.
ShandiyaB_2021_05	australia,melbourne,points,osm,openstreetmap	Because everyone loves a bench.
ShandiyaB_2021_06	australia,melbourne,red,green,blue,points,trees	Days 6 - 8: Red, Green, Blue. A 3-in-1 today, showing locations of post boxes (red), trees (green), and drinking fountains (blue) in Melbourne.
tanya_shapiro_2021_01	usa,new york city,nyc,points,osm,openstreetmap,personal	Today's #30DayMapChallenge is a love letter to my better half, @KrisStil. We created a lot of great memories while we lived in NYC. Here's a map of the places those memories were made. ❤️🏙️
tanya_shapiro_2021_03	usa,virginia,politics,elections,choropleth	Since today is a big day for VA, here is a throwback to the last gubernatorial election results from 2017. 🗳
tanya_shapiro_2021_04	usa,hexagons,cartogram	Major shout out to @R_Graph_Gallery for an easy to follow tutorial, thank you! And in the spirit of #NationalCandyDay I'm dedicating this to Mars candy fan favorites. Snickers or Bust. 🍫🍬
tanya_shapiro_2021_05	switzerland,basel,roads,lines,osm,openstreetmap	This challenge introduced me to osmdata, a very cool package - and there's lot more for me to learn.  Dedicating today's map to meine Heimatstadt (my hometown), Basel.
tanya_shapiro_2021_06	world,food,red	Data from @OurWorldInData, produced a map to explore beef & buffalo meat consumption around the world. Personally, I'm a vegetarian, but I've got no beef with my meat eating friends. 🥩
tanya_shapiro_2021_08	world,choropleth,blue,red,green	RGB Around The World. I was inspired by https://time.com/patriotic-flag-colors/ and wanted a redo on Red & Green. Used {colorfindr} (very cool package) to analyze hex codes from flag images online. Creating the dataset was 90% of the battle.
tanya_shapiro_2021_10	nepal,elevation,raster	Perfect opportunity to explore {raster} package. Used altitude data from STRM to create a map of Nepal (home of the tallest mountains). 🗻
tanya_shapiro_2021_11	usa,washington,climate,choropleth,3d	My 1st attempt at 3D. My mind is completely blown by the # of possibilities with {rayshader}. Map below of Washington State rainfall over the last 12 months.  🌧️
ThomIvar_2021_05	netherlands,groningen,roads,lines,osm,openstreetmap	Map of the city of Groningen
UrbanDemog_2021_01	brazil,points	A map of all healthcare facilities in Brazil in a couple lines of code
UrbanDemog_2021_03	brazil,environment,animation,interactive	Interactive #dataviz showing the importance of indigenous lands to help stop #deforestation in Brazil #COP26
UrbanDemog_2021_04	brazil,sao paulo,hexagons,grid,choropleth,transport	Employment accessibility by public transport in less than 60 minutes in some of Brazil's largest cities.
UrbanDemog_2021_05	brazil,rio de janeiro,lines,streets,osm,openstreetmap	Walking time to the city center of Rio de Janeiro
UrbanDemog_2021_20	brazil,fortaleza,transport,3d,hexagons,grid,animation	Animating public transport networks on 3D stacked maps.
VictimOfMaths_2020_01	uk,britain,points,shops	_
VictimOfMaths_2020_02	england,lines,charts,health,covid19	_
VictimOfMaths_2020_03	england,sport,voronoi	_
VictimOfMaths_2020_04	england,charts,hexagons,cartogram,politics,elections	_
VictimOfMaths_2020_05	uk,britain,health,choropleth,blue	_
VictimOfMaths_2020_06	africa,health,hiv,aids,choropleth	_
VictimOfMaths_2020_08	uk,england,wales,lines,electricity,infrastructure,yellow	_
VictimOfMaths_2020_09	sheffield,elevation,lines	_
VictimOfMaths_2020_15	sheffield,lines,osm,openstreetmap	_
VictimOfMaths_2020_18	norfolk,land,agriculture	_
VictimOfMaths_2020_19	uk,england,wales	_
VictimOfMaths_2020_22	uk,britain,covid19,health,hexagons,animation	_
VictimOfMaths_2020_23	sheffield,boundaries	_
VictimOfMaths_2020_27	europe,animals	_
VictimOfMaths_2020_29	world,globe,uk,trade	Countries which have signed tride agreements or agreements in principle with the UK
VictimOfMaths_2020_30	usa	The United States of Kitteh
VictimOfMaths_2021_01	uk,britain,points,names	A map of all the places in Great Britain whose names include the word 'Point'
VictimOfMaths_2021_02	uk,britain,rivers,lines,names	Rivers of Great Britain and common synonyms for 'river'
VictimOfMaths_2021_03	uk,britain,sport,voronoi	The closest English or Scotting Premier League football team to any point in the UK
VictimOfMaths_2021_04	england,population,age,hexagons,grid	The median age of every neightbourhood in England
VictimOfMaths_2021_05	uk,britain,points,shops,osm,openstreetmap	The location of every Greggs and Pret a Manger in the UK
VictimOfMaths_2021_06	wales,points,red,names	All of the places in Wales with 'red' in their name
